address,amount
0x0f28fa701eda5db150f2c6ccfa220e75cd839efe,30
0xace95175b107f0d6a7a2949f7af83d7a3528fb4e,30
0x38daea6f17e4308b0da9647db9ca6d84a3a7e195,30
0x2f59a307319b52c0928e679ac625cf7d3c883d36,30
0x0392c0d81934b52f64aa50c2cfbbcf28cd6141b2,30
0xdd65c5e9d1d4124a4730a9bad9ba5784f9b1d1ec,30
0xb32fc7b40a89e0547bd16664a57fcfceecbeeeec,60
0xb4d0e8be45395e72e9c1af25f59d854bc7dc5b48,30
0x212d6d36440524b6a405d2b3984c15bbd3ebefb3,30
0x87f0eb5a11f5f6f7ca05e4bb8a9fa4c67d58d201,30
0x625d7862ab8b413f8af8a4b66bc083756730dec9,60
0x4403440e3acfda385dd43c8fb76028811bf785bf,30
0xd3884d878aa40ee715f42fd061695cdc7d77f402,30
0x43930ff04d18a5b59805151c1eb403c55870641e,30
0xbd97ee24264d994cc01f9d6fbdf5f8001c2a8987,30
0x3e615cc26272ca117a4b4296b7d96e6ade538fb2,30
0x339dab47bdd20b4c05950c4306821896cfb1ff1a,30
0x82e5e4215bbc57539f3fce14e01ac43bb649aa30,30
0xb76cb23b716384ea0b848273f01f33a0ecaf2272,30
0xe3939654deae5f54fd3e6b84b3a7f75f245062d8,30
0xf92e84c0eaee37765acf65df9705284d95ee4e0e,30
0x1924c794d6b6cab91a962690289afe85d0459716,60
0x49e85648494fe05ff50b696a291cec9fd05401c1,60
0xd79e338667aeb42fb8f71c03b815d06bb8da968d,30
0xd58150dafa405270c2595a02e72751731f36ad49,30
0xce4b87301ad7c336ef2f1b822ad8bd7e86249ebc,30
0x1c2cddc58eae7a9d6cfd2aa7b8ed7ddad9900179,30
0x9347924f720ed20184046efbd185fca237dfc8cf,30
0xd9907cd11d99d21b431fc0a4ef513f3823142b0d,30
0xc38586c52cdf83c59fb97defa8e5c5acd151b8aa,30
0x0e8db02e39639da70094267ba491c9de71f6faac,30
0x0e1ca0c78c85457e04dd6f256b290f6c31b7629a,30
0xacc993013812e5524102474ba78f3a278c6d2efc,30
